Date;Metric;Views;Likes;Dislikes;Favourite Count;Comment Count
2019-04-02;count;67.0;67.0;67.0;67.0;67.0
2019-04-02;mean;33539.0;678.0;23.0;0.0;27.0
2019-04-02;std;91752.0;2666.0;73.0;0.0;96.0
2019-04-02;min;325.0;3.0;0.0;0.0;0.0
2019-04-02;25%;1000.0;20.0;0.0;0.0;1.0
2019-04-02;50%;2519.0;36.0;1.0;0.0;2.0
2019-04-02;75%;7925.0;99.0;4.0;0.0;4.0
2019-04-02;max;445566.0;19980.0;458.0;0.0;721.0
2019-04-03;count;72.0;72.0;72.0;72.0;72.0
2019-04-03;mean;31796.0;637.0;21.0;0.0;25.0
2019-04-03;std;88842.0;2577.0;71.0;0.0;93.0
2019-04-03;min;325.0;3.0;0.0;0.0;0.0
2019-04-03;25%;1071.0;21.0;0.0;0.0;1.0
2019-04-03;50%;2532.0;36.0;2.0;0.0;2.0
2019-04-03;75%;8064.0;104.0;4.0;0.0;4.0
2019-04-03;max;446836.0;19987.0;460.0;0.0;721.0
2019-04-04;count;67.0;67.0;67.0;67.0;67.0
2019-04-04;mean;33617.0;680.0;23.0;0.0;27.0
2019-04-04;std;92013.0;2669.0;74.0;0.0;97.0
2019-04-04;min;325.0;3.0;0.0;0.0;0.0
2019-04-04;25%;1004.0;20.0;0.0;0.0;1.0
2019-04-04;50%;2525.0;36.0;1.0;0.0;2.0
2019-04-04;75%;7960.0;99.0;4.0;0.0;4.0
2019-04-04;max;448262.0;19996.0;462.0;0.0;721.0
2019-04-05;count;67.0;67.0;67.0;67.0;67.0
2019-04-05;mean;33656.0;681.0;23.0;0.0;27.0
2019-04-05;std;92143.0;2671.0;74.0;0.0;97.0
2019-04-05;min;325.0;3.0;0.0;0.0;0.0
2019-04-05;25%;1008.0;20.0;0.0;0.0;1.0
2019-04-05;50%;2526.0;36.0;1.0;0.0;2.0
2019-04-05;75%;7974.0;99.0;4.0;0.0;4.0
2019-04-05;max;449561.0;20005.0;463.0;0.0;722.0
2019-04-06;count;67.0;67.0;67.0;67.0;67.0
2019-04-06;mean;33692.0;681.0;23.0;0.0;27.0
2019-04-06;std;92264.0;2672.0;74.0;0.0;97.0
