Date;ID;Comment Count;Dislikes;Favourite Count;Likes;Published on;Tags;Thumbnail;Title;Views
2018-10-20;iuIisjRIcVI;79;153;0;4219;2017-02-09T19:43:41.000Z;TEDxTalks,English,Germany,Life,Achievement,Anthropology,Brain,Career,Control,Decision making,Goal-setting,Happiness,Life Development,Life Hack,Mindfulness,Motivation,Personal growth,Positive Thinking,Social Science,Society,Success,Work;https://i.ytimg.com/vi/iuIisjRIcVI/mqdefault.jpg;Motivate yourself with visions, goals and willpower | Hugo Kehr | TEDxTUM;258373
2018-10-20;0qVOUD76JOg;122;66;0;3128;2015-12-07T19:46:38.000Z;TEDxTalks,English,Germany,Technology,AI,Art,Computers,Creativity,Engineering,Poetry,Science,Visualization;https://i.ytimg.com/vi/0qVOUD76JOg/mqdefault.jpg;The art of neural networks | Mike Tyka | TEDxTUM;209084
2018-10-20;D6_J7FfgWVc;80;233;0;3302;2018-02-21T21:50:47.000Z;TEDxTalks,English,Life,Community,Compassion,Emotions,Intelligence,Learning,Self,Self improvement,Society;https://i.ytimg.com/vi/D6_J7FfgWVc/mqdefault.jpg;6 Steps to Improve Your Emotional Intelligence | Ramona Hacker | TEDxTUM;239706
2018-10-20;iq5SLf6xPFQ;554;80;0;15966;2018-02-21T21:46:59.000Z;TEDxTalks,English,Life,Career,Exploration,Life Development,Self,Self improvement,Self-help;https://i.ytimg.com/vi/iq5SLf6xPFQ/mqdefault.jpg;Are you living the life you want to live? | Taz Alam | TEDxTUM;213870
2018-10-20;EJDpbsvWdsg;113;213;0;1019;2017-02-14T15:28:53.000Z;TEDxTalks,English,Germany,Entertainment,Aging,Comedy,Culture,Humor,Society;https://i.ytimg.com/vi/EJDpbsvWdsg/mqdefault.jpg;Born in Ireland, made in Germany | Mel Kelly | TEDxTUM;121329
2018-10-20;XnQHVXMhzBo;13;4;0;184;2016-01-05T16:34:27.000Z;TEDxTalks,English,Germany,Entertainment,Meditation,Music (performance);https://i.ytimg.com/vi/XnQHVXMhzBo/mqdefault.jpg;Opus Epicus | Mandara | TEDxTUM;12785
2018-10-20;IDixuVrDABY;1;3;0;122;2014-07-23T18:55:18.000Z;Business,Germany,ted x,ted,English,tedx,Career/Life Development,tedx talk,Psychology,ted talk,Performance,ted talks,tedx talks,TEDxTalks;https://i.ytimg.com/vi/IDixuVrDABY/mqdefault.jpg;How do we learn from failure? | Dean Shepherd | TEDxTUM;16376
2018-10-20;3Xpj5Gj9pgo;0;0;0;33;2016-01-18T18:34:08.000Z;TEDxTalks,English,Germany,Social Science,Behavior,Body language,Cognitive science,Communication,Compassion,Connection,Curiosity,Emotions,Empathy,Happiness,Love,Neuroscience,Psychology,Relationships,Science,Technology;https://i.ytimg.com/vi/3Xpj5Gj9pgo/mqdefault.jpg;What virtual reality can tell us about human nature | Cade McCall | TEDxTUM;2420
2018-10-20;KCLdryjDl6E;83;188;0;3732;2017-02-10T17:11:16.000Z;TEDxTalks,English,Germany,Education,Consciousness,Data,Memory,Personal education,Personal growth,Self,Self improvement,Self-help;https://i.ytimg.com/vi/KCLdryjDl6E/mqdefault.jpg;Memory techniques - Your secret weapon in the information age | Simon Reinhard | TEDxTUM;353519
2018-10-20;OKQ-mpv0tWI;3;0;0;21;2018-02-21T21:45:45.000Z;TEDxTalks,English,Health,3D Technology,Entrepreneurship,Fashion,Future,Medicine,Printing,Prosthetics,Start-up,Technology;https://i.ytimg.com/vi/OKQ-mpv0tWI/mqdefault.jpg;The Perfect Fit - Individualized, Fashionable, 3D-printed Prosthetics | Manuel Opitz | TEDxTUM;661
2018-10-20;Zark1jrC7EU;2;0;0;19;2014-07-23T18:55:49.000Z;ted,Health,tedx,ted x,Science (hard),tedx talk,TEDxTalks,Medicine,Computer Science,tedx talks,ted talks,Germany,ted talk,Genetics,Biology,English;https://i.ytimg.com/vi/Zark1jrC7EU/mqdefault.jpg;Personalized health -- harnessing the power of diversity | Burkhard Rost | TEDxTUM;2330
2018-10-20;-guxUgF_eTU;3;7;0;54;2015-12-22T18:36:24.000Z;TEDxTalks,English,Germany,Entertainment,Art,Comedy,Humor,Theater;https://i.ytimg.com/vi/-guxUgF_eTU/mqdefault.jpg;Live Improv Theater | Bake This | TEDxTUM;6167
2018-10-20;WGPQM1J7Jcw;6;4;0;67;2018-02-21T21:55:30.000Z;TEDxTalks,English,Science (hard),Exploration,Physics,Science,Space;https://i.ytimg.com/vi/WGPQM1J7Jcw/mqdefault.jpg;What Is Inside a Neutron Star? | Laura Fabbietti | TEDxTUM;4012
2018-10-20;36186S-RsKY;9;4;0;105;2016-01-29T16:28:55.000Z;TEDxTalks,English,Germany,Design,Classroom,Data,Decision making,Education,Education reform,Higher education,Interface design,Multimedia,Personal education,Presentation,Product design,Reform,Science,Teaching,Visualization;https://i.ytimg.com/vi/36186S-RsKY/mqdefault.jpg;Why data should be over-the-counter | Jenny Rankin | TEDxTUM;10373
2018-10-20;Z2TQQhTx6EQ;3;0;0;36;2016-01-12T20:04:05.000Z;TEDxTalks,English,Germany,Life,Choice,Compassion,Connection,Consciousness,Death,Decision making,Family,Future,Goal-setting,Happiness,Health,Identity,Life Development,Life Hack,Mindfulness,Motivation,Passion,Personal growth,Relationships,Self,Self improvement,Self-help,Work;https://i.ytimg.com/vi/Z2TQQhTx6EQ/mqdefault.jpg;What I do to live the life I want | Petra Dorfner | TEDxTUM;2101
2018-10-20;62aI5Oy4S4g;4;1;0;28;2018-02-21T21:48:51.000Z;TEDxTalks,English,Global Issues,Activism,Career,Community,Social Change,Social Justice,Society;https://i.ytimg.com/vi/62aI5Oy4S4g/mqdefault.jpg;The Glue That Holds Society Together | Jürgen Gradl | TEDxTUM;1269
2018-10-20;NQ9uWbZ285Q;1;1;0;32;2017-02-09T19:43:40.000Z;TEDxTalks,English,Germany,Education,Adventure,Business,Career,Communication,Community,Connection,Creation,Creativity,Curiosity,Dreams,Emotions,Exploration,Goal-setting,Happiness,Initiative,Innovation,Leadership,Life Development,Motivation,Passion,Personal growth,Purpose,Teaching,Volunteering,Work;https://i.ytimg.com/vi/NQ9uWbZ285Q/mqdefault.jpg;How to create passioneers | Steffie Limère | TEDxTUM;2600
2018-10-20;3uLp0C6G__w;204;45;0;1338;2017-02-10T17:11:15.000Z;TEDxTalks,English,Germany,Science (hard),Animals,Birds,Brain,Cognitive science,Communication,Exploration,Intelligence,Relationships,Science;https://i.ytimg.com/vi/3uLp0C6G__w/mqdefault.jpg;The fascinating intelligence of birds | Auguste von Bayern | TEDxTUM;86599
2018-10-20;ab_yh2HoJ7o;4;14;0;49;2017-02-10T17:11:20.000Z;TEDxTalks,English,Germany,Technology,Aging,Biology,Biotech,Computers,Intelligence,Robots,Society;https://i.ytimg.com/vi/ab_yh2HoJ7o/mqdefault.jpg;Building our future with synthetic biology | Jérôme Lutz | TEDxTUM;3076
2018-10-20;2B91UE0gHps;0;0;0;3;2017-02-14T15:28:51.000Z;TEDxTalks,English,Germany,Entertainment,Band;https://i.ytimg.com/vi/2B91UE0gHps/mqdefault.jpg;Acoustic Performance | Peak to Peak | TEDxTUM;509
2018-10-20;HCjBM23nQ0s;2;2;0;73;2016-01-08T21:08:32.000Z;TEDxTalks,English,Germany,Technology,AI,Cognitive science,Computers,Creation,Engineering,Future,Innovation,Intelligence,Product design,Productivity,Relationships,Research,Robots,Science;https://i.ytimg.com/vi/HCjBM23nQ0s/mqdefault.jpg;Robots that learn from us | Dongheui Lee | TEDxTUM;5410
